State,CityName,UniqueID,CityFIPS,TractFIPS,ObesityScore,Lat,Lon,WalkScore
TX,Mesquite,4847892-48113017602,4847892,48113017602,34,32.77088906,-96.64070575,32
TX,Houston,4835000-48201314002,4835000,48201314002,21.4,29.68787111,-95.39747541,43
TX,Arlington,4804000-48439121703,4804000,48439121703,38.8,32.75136139,-97.11525295,68
TX,Dallas,4819000-48113008604,4819000,48113008604,48.2,32.71741519,-96.77007413,44
TX,El Paso,4824000-48141001001,4824000,48141001001,38.5,31.79968549,-106.4619535,67
TX,Richardson,4861796-48085032009,4861796,48085032009,21.6,32.99090396,-96.66180184,11
TX,Beaumont,4807000-48245001303,4807000,48245001303,33.3,30.02350809,-94.16486853,3
TX,Fort Worth,4827000-48439111013,4827000,48439111013,32.7,32.59915998,-97.33218596,8
TX,Fort Worth,4827000-48439105902,4827000,48439105902,40.5,32.67524783,-97.29570663,9
TX,Dallas,4819000-48113003901,4819000,48113003901,49.1,32.75990349,-96.74518198,59
TX,San Antonio,4865000-48029191413,4865000,48029191413,25.7,29.57859122,-98.52505386,16
TX,El Paso,4824000-48141003903,4824000,48141003903,43.3,31.69094443,-106.3408031,23
TX,Denton,4819972-48121020900,4819972,48121020900,26.6,33.2054853,-97.15677982,49
