State,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon
TX,Fort Worth,4827000-48439106201,4827000,48439106201,48.3,32.70800777,-97.25866263
TX,Longview,4843888-48183010301,4843888,48183010301,34.4,32.55080477,-94.82053178
TX,Austin,4805000-48453001745,4805000,48453001745,23.4,30.42439153,-97.73801848
TX,Baytown,4806128-48201254700,4806128,48201254700,30.7,29.70902697,-94.95073694
TX,College Station,4815976-48041001605,4815976,48041001605,26.5,30.59768855,-96.32568621
TX,Carrollton,4813024-48113013727,4813024,48113013727,,32.9826577,-96.84116315
TX,San Antonio,4865000-48029151000,4865000,48029151000,39.3,29.36252714,-98.51024281
TX,Dallas,4819000-48113010602,4819000,48113010602,40,32.7722449,-96.91525442
TX,Abilene,4801000-48441010100,4801000,48441010100,25.1,32.46984924,-99.70404716
TX,Houston,4835000-48201522000,4835000,48201522000,33.2,29.82731382,-95.53558951
TX,McAllen,4845384-48215020724,4845384,48215020724,34.1,26.21466522,-98.26506011
TX,Houston,4835000-48201552002,4835000,48201552002,27.2,29.9141624,-95.61088746
TX,San Antonio,4865000-48029151700,4865000,48029151700,35.4,29.329456,-98.50062919
TX,Houston,4835000-48201411200,4835000,48201411200,22.1,29.75308559,-95.43118038
TX,Grand Prairie,4830464-48113016523,4830464,48113016523,29.1,32.56406247,-97.02513213
TX,Austin,4805000-48453001755,4805000,48453001755,17.7,30.40917968,-97.77848339
TX,Houston,4835000-48201411300,4835000,48201411300,23.7,29.74908376,-95.45262138
TX,Richardson,4861796-48113019100,4861796,48113019100,25.6,32.94867227,-96.72611084
TX,San Antonio,4865000-48029181720,4865000,48029181720,26,29.53941994,-98.66337591
TX,El Paso,4824000-48141004318,4824000,48141004318,30.1,31.76382036,-106.3477288
TX,Houston,4835000-48201420500,4835000,48201420500,40.2,29.6500083,-95.47279105
TX,Bryan,4810912-48041000800,4810912,48041000800,27.4,30.65950413,-96.3558136
TX,Corpus Christi,4817000-48355002001,4817000,48355002001,42.4,27.75759627,-97.40522908
TX,San Antonio,4865000-48029130500,4865000,48029130500,45.3,29.41922256,-98.45216751
TX,Dallas,4819000-48113013200,4819000,48113013200,21.9,32.91733781,-96.78559262
TX,Lubbock,4845000-48303000201,4845000,48303000201,36.7,33.62351315,-101.8721696
TX,Arlington,4804000-48439111409,4804000,48439111409,26.7,32.63594028,-97.15439295
TX,El Paso,4824000-48141010401,4824000,48141010401,,31.64674525,-106.3134587
TX,Dallas,4819000-48113000606,4819000,48113000606,22.8,32.81597749,-96.80101931
TX,Plano,4858016-48085032010,4858016,48085032010,31.4,33.01569425,-96.6526529
TX,Irving,4837000-48113014302,4837000,48113014302,31.1,32.8447801,-96.96898951
TX,Corpus Christi,4817000-48355000800,4817000,48355000800,42.3,27.76990183,-97.47671956
TX,Fort Worth,4827000-48439102601,4827000,48439102601,36.1,32.72819192,-97.39657573
TX,Baytown,4806128-48201254200,4806128,48201254200,34.2,29.72871817,-94.96450797
TX,Fort Worth,4827000-48439111012,4827000,48439111012,33.3,32.62473076,-97.36227774
TX,San Antonio,4865000-48029131606,4865000,48029131606,30.9,29.47862558,-98.2998128
TX,Denton,4819972-48121020205,4819972,48121020205,27.3,33.31662882,-97.08135242
TX,Dallas,4819000-48113012702,4819000,48113012702,36.7,32.83974184,-96.67611717
TX,San Antonio,4865000-48029160100,4865000,48029160100,42.4,29.40847611,-98.5212324
TX,Dallas,4819000-48113000202,4819000,48113000202,22.7,32.83188172,-96.76573318
TX,McKinney,4845744-48085030301,4845744,48085030301,25.7,33.24009874,-96.70660214
TX,San Antonio,4865000-48029181200,4865000,48029181200,25.6,29.53679696,-98.53921713
TX,Lewisville,4842508-48121021744,4842508,48121021744,35.3,33.03969827,-97.01190911
TX,Fort Worth,4827000-48439106002,4827000,48439106002,44.4,32.64869568,-97.30421239
TX,Dallas,4819000-48113009105,4819000,48113009105,37.7,32.73830227,-96.69110753
TX,Laredo,4841464-48479001721,4841464,48479001721,31.6,27.57940688,-99.47738204
TX,Houston,4835000-48201432901,4835000,48201432901,37.8,29.71625234,-95.52792148
TX,El Paso,4824000-48141010342,4824000,48141010342,32.5,31.71966429,-106.2657592
TX,Laredo,4841464-48479001713,4841464,48479001713,31.1,27.60699913,-99.46235802
TX,Irving,4837000-48113015204,4837000,48113015204,30,32.79233792,-96.96817646
TX,San Antonio,4865000-48029181723,4865000,48029181723,32,29.52121914,-98.67842046
TX,Houston,4835000-48201422301,4835000,48201422301,43,29.64968322,-95.50455302
TX,Houston,4835000-48201452100,4835000,48201452100,27.2,29.72630102,-95.58212455
TX,Arlington,4804000-48439111547,4804000,48439111547,33,32.63522932,-97.08375026
TX,McKinney,4845744-48085030515,4845744,48085030515,26.8,33.16675065,-96.6892248
TX,Houston,4835000-48201454700,4835000,48201454700,27.5,29.77056187,-95.71856668
